Date,Day Code,Time,Event Code,Event,Round/Heat,Class,Format,Style,Duration,Location,GM,Change Date,BGG_ID,BGG_Name,BGG_Rank,BGG_Rating
First Friday,,,,,,,,,,,,,,,,
7/26/26,FSu,13,5TR,Five Tribes,Heat 3/3,B,HMW-P,Scheduled,2,Sunburst,"Wildes, Chris",,157354.0,Five Tribes: The Djinns of Naqala,97.0,7.76401
7/26/26,FSu,13,SMW,Small World,Semifinal,B,HMW-P,Scheduled,2,Grand Ballroom,"O'Flynn, Tim",,40692.0,Small World,404.0,7.19133
7/26/26,FSu,14,AUC,Auction,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Kyrkos, Vassili",,16906.0,Auction,0.0,5.0
7/26/26,FSu,14,COB,Castles of Burgundy,Demo 1/1,--,--,---,1,Exhibit Hall Annex #4,"Irving, Richard",,84876.0,The Castles of Burgundy,17.0,8.16121
7/26/26,FSu,14,SWS,Swords & Sails,Demo 1/1,--,--,---,1,Exhibit Hall,"Williams, Jason",,182736.0,Swords & Sails,20690.0,6.79547
7/26/26,FSu,14,CAR,Carcassonne,Round 6/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",,822.0,Carcassonne,238.0,7.41641
7/26/26,FSu,14,HRC,Hannibal: Rome vs Carthage,Round 4/5,A,SW,Continuous,5,Maple,"Tucker, Stuart",,234.0,Hannibal: Rome vs. Carthage,491.0,7.77495
7/26/26,FSu,14,VIP,Victory in the Pacific,Round 2/5,B,SwEl,Continuous,5,Snowflake,"Drozd, Ted",,1442.0,Victory in the Pacific,2658.0,7.23988
7/26/26,FSu,14,WAT,Waterloo,Round 1/5,A,SwEl,Freeform,6,Winterberry,"Musella, Martin",,5296.0,Waterloo,12796.0,5.9526
7/26/26,FSu,14,7WS,7 Wonders,Quarterfinal,B,HMW-P,Scheduled,2,Grand Ballroom,"Shea, Elizabeth",,68448.0,7 Wonders,118.0,7.66225
7/26/26,FSu,15,V19,Versailles 1919,Demo 1/1,--,--,---,1,Exhibit Hall Annex #2,"Pettis, Roy",,253506.0,Versailles 1919,2598.0,7.47347
7/26/26,FSu,15,AKN,Ark Nova,Heat 1/2,A,HWO,Scheduled,3,Seasons,"Weaver, Chad",,342942.0,Ark Nova,2.0,8.54009
7/26/26,FSu,15,AUC,Auction,Heat 2/4,B,HWO,Scheduled,1,Chestnut,"Kyrkos, Vassili",,16906.0,Auction,0.0,5.0
7/26/26,FSu,15,BSN,Beyond the Sun,Heat 3/3,B,HMW-P,Scheduled,2,Wintergreen,"Wu, Jeff",,317985.0,Beyond the Sun,112.0,7.86249
7/26/26,FSu,15,FDE,Formula De,Heat 1/4,C,HMW-P,Scheduled,3,Alpine,"Meader, Eric",,37904.0,Formula D,776.0,6.98416
7/26/26,FSu,15,FFM,Freeman's Farm,Heat 1/4,B,HMW-P,Scheduled,3,Foggy Brews,"Lange, Jeff",,271837.0,Freeman's Farm 1777,8396.0,7.37809
7/26/26,FSu,15,NVG,Navegador,Heat 1/3,B,HMW-P,Scheduled,2,Sunburst,"Martin, Chad",,66589.0,Navegador,367.0,7.52726
7/26/26,FSu,15,CAR,Carcassonne,Semifinal,B,SE,Continuous,1,Seasons,"Hammond, Kevin",,822.0,Carcassonne,238.0,7.41641
7/26/26,FSu,15,SMW,Small World,Final,B,HMW-P,Scheduled,2,Grand Ballroom,"O'Flynn, Tim",,40692.0,Small World,404.0,7.19133
7/26/26,FSu,16,,Juniors Meet and Greet,--,--,--,--,2,Hemlock,"Byrd, Megan",,,,,
7/26/26,FSu,16,FBS,Football Strategy,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Schoose, Bert",,951.0,Football Strategy,7957.0,6.45996
7/26/26,FSu,16,SPD,Splendor,Demo 1/1,--,--,---,1,Exhibit Hall Annex #5,"Murray, Rob",,148228.0,Splendor,242.0,7.42055
7/26/26,FSu,16,CAR,Carcassonne,Final,B,SE,Continuous,1,Seasons,"Hammond, Kevin",,822.0,Carcassonne,238.0,7.41641
7/26/26,FSu,16,COB,Castles of Burgundy,Round 1/3,B,HMW-P,Scheduled,3,Sunburst,"Irving, Richard",,84876.0,The Castles of Burgundy,17.0,8.16121
7/26/26,FSu,16,POG,Paths of Glory,Round 2/2,C,SEM,Scheduled,6,Winterberry,"Gregorio, Alex",,91.0,Paths of Glory,263.0,8.07029
7/26/26,FSu,16,7WS,7 Wonders,Semifinal,B,HMW-P,Scheduled,2,Grand Ballroom,"Shea, Elizabeth",,68448.0,7 Wonders,118.0,7.66225
7/26/26,FSu,17,--,Shuttle from Pittsburgh Airport,--,--,--,--,2,Airport,Seven Springs,,,,,
7/26/26,FSu,17,ABN,Air Baron,Demo 1/1,--,--,---,1,Exhibit Hall Annex #1,"Jamelli, Max",,76.0,Air Baron,6201.0,6.40163
7/26/26,FSu,17,EPB,Empire Builder,Demo 1/1,--,--,---,1,Exhibit Hall Annex #2,"Bromley, Trella",,168.0,Empire Builder,1975.0,6.9584
7/26/26,FSu,17,GXT,Galaxy Trucker,Demo 1/1,--,--,---,1,Exhibit Hall Annex #4,"Finberg, David",,31481.0,Galaxy Trucker,317.0,7.32119
7/26/26,FSu,17,IVH,Ivanhoe,Demo 1/1,--,--,---,1,Exhibit Hall Annex #8,"Roeper, Barb",,883.0,Ivanhoe,3330.0,6.5409
7/26/26,FSu,17,SWR,Star Wars: Rebellion,Demo 1/1,--,--,---,1,Exhibit Hall Annex #7,"Gregorio, Alex",,187645.0,Star Wars: Rebellion,10.0,8.42215
7/26/26,FSu,17,STA,Stone Age,Demo 1/1,--,--,---,1,Exhibit Hall Annex #6,"Stufflet, Dave",,34635.0,Stone Age,188.0,7.51016
7/26/26,FSu,17,8XX,18xx,Heat 4/4,B,HMW-T,Scheduled,6,Alpine,"McCorry, Tom",,,,,
7/26/26,FSu,17,FBS,Football Strategy,Heat 1/2,B,HMSE,Scheduled,7,Evergreen,"Schoose, Bert",,951.0,Football Strategy,7957.0,6.45996
7/26/26,FSu,17,SPD,Splendor,Heat 1/3,B,HMW-P,Scheduled,1,Grand Ballroom,"Murray, Rob",,148228.0,Splendor,242.0,7.42055
7/26/26,FSu,17,WOR,War of the Ring,Mulligan,C,SEM,Continuous,4,Fox Den,"Martin, Jeromey",,9609.0,War of the Ring,221.0,7.78098
7/26/26,FSu,18,DOM,Dominion,Heat 2/3,B,HWO,Scheduled,1,Seasons,"Bielefeldt, Russ",,36218.0,Dominion,145.0,7.5977
7/26/26,FSu,18,EPB,Empire Builder,Heat 1/3,B,HMW-P,Scheduled,4,Wintergreen,"Bromley, Trella",,168.0,Empire Builder,1975.0,6.9584
7/26/26,FSu,18,IVH,Ivanhoe,Heat 1/3,B,HMW-P,Scheduled,2,Timberstone,"Roeper, Barb",,883.0,Ivanhoe,3330.0,6.5409
7/26/26,FSu,18,RA!,Ra!,Heat 1/4,B,HMW-P,Scheduled,2,Grand Ballroom,"Bove, Alex",,12.0,Ra,113.0,7.71516
7/26/26,FSu,18,SP2,Splendor Duel,Heat 2/2,B,HWO,Scheduled,2,Seasons,"Chauvin, Carl",,364073.0,Splendor Duel,111.0,7.87527
7/26/26,FSu,18,STA,Stone Age,Heat 1/3,B,HWO,Scheduled,2,Seasons,"Stufflet, Dave",,34635.0,Stone Age,188.0,7.51016
7/26/26,FSu,18,VGQ,Virgin Queen,Heat 2/2,B,HMW-P,Scheduled,6,Wagner's Run,"Beach, Ed",,41066.0,Virgin Queen,1172.0,7.97122
7/26/26,FSu,19,BAR,Battles of the American Revolution,Demo 1/1,--,--,---,1,Foggy Brews,"Miklos, Mark",,446340.0,Battles of the American Revolution,0.0,7.965
7/26/26,Fsu,19,ABN,Air Baron,Heat 1/4,B,HMW-P,Scheduled,3,Dogwood,"Jamelli, Max",,76.0,Air Baron,6201.0,6.40163
7/26/26,FSu,19,GXT,Galaxy Trucker,Heat 1/3,B,HMW-P,Scheduled,2,First Tracks Poolside,"Finberg, David",,31481.0,Galaxy Trucker,317.0,7.32119
7/26/26,FSu,19,HRC,Hannibal: Rome vs Carthage,Round 5/5,A,SW,Continuous,5,Maple,"Tucker, Stuart",,234.0,Hannibal: Rome vs. Carthage,491.0,7.77495
7/26/26,FSu,19,SAG,Sagrada,Heat 1/3,B,HMW-P,Scheduled,1,Seasons,"Schreier, Daron",,199561.0,Sagrada,225.0,7.46907
7/26/26,FSu,19,SWR,Star Wars: Rebellion,Mulligan,C,SEM,Scheduled,4,Fox Den,"Gregorio, Alex",,187645.0,Star Wars: Rebellion,10.0,8.42215
